"⚾  MLB HOME RUN MODEL  —  Thursday, September 17, 2026",,,,,,,,,,,,,,,,,,,,,,,
"Top 83 HR Picks  |  10,000 Monte Carlo Sims  |  Power + Matchup + Bullpen + Vegas + PropLine Odds",,,,,,,,,,,,,,,,,,,,,,,
Rank,Batter,Status,Game Time,Team,Opp,Pitcher,HR Odds,HR Prob,"Score
/100",Power,Vuln,"Pitch
Match",Park,Env,Est PA,"Edge
vs Mkt","Hit
Score","Sig
Score","NearHR
Count","NearHR
PA","NearHR
Rate","NewConv
CONV100","DFF
Cross-Check"
56,Riley Greene,📋 Proj,7:40 PM ET,DET,CWS,Erick Fedde,+300,0.1496,57.4,85.9,52.1,1.069,0.97,0.919,4.4,-10.0%,61.2,4,0,10,0.0,100,🥇 T1 (11.8fp)
57,Jeremy Pena,📋 Proj,7:15 PM ET,HOU,KC,Seth Lugo,+470,0.1491,57.3,79.7,50.3,1.025,0.97,0.971,4.7,+6.3%,3.5,0,1,10,0.1,60,🥈 T2 (11.8fp)
58,M. Ballesteros,📋 Proj,9:38 PM ET,LAA,MIN,Taj Bradley,+680,0.1593,52.3,80.2,40.4,0.989,0.97,1.007,4.3,-4.4%,39.1★,7,1,10,0.1,38,– (8.2fp)
59,Jackson Merrill,✅ Conf,3:10 PM ET,SD,COL,Tanner Gordon,+310,0.2072,27.3,82.0,52.6,1.031,1.35,1.705,4.4,+1.1%,21.7,0,1,10,0.1,65,🥈 T2 (14.4fp)
60,Ke'Bryan Hayes,✅ Conf,12:40 PM ET,CIN,LAD,Justin Wrobleski,+600,0.2017,29.4,79.3,44.9,0.975,1.16,1.309,4.0,-6.0%,N/A,1,0,10,0.0,31,– (6.7fp)
61,Isaac Paredes,📋 Proj,7:15 PM ET,HOU,KC,Seth Lugo,+470,0.1491,53.3,75.6,50.3,1.001,0.97,0.971,4.5,+1.2%,49.2~,0,0,10,0.0,60,– (9.8fp)
62,Corey Seager,📋 Proj,8:05 PM ET,TEX,BOS,Sonny Gray,+390,0.1488,52.2,82.2,44.6,1.041,1.12,1.142,4.5,-5.5%,66.2,12,0,10,0.0,65,🥇 T1 (10.3fp)
63,Tyler Stephenson,✅ Conf,12:40 PM ET,CIN,LAD,Justin Wrobleski,+330,0.1711,40.8,76.3,44.9,0.999,1.16,1.309,4.4,+3.4%,38.9★,1,0,10,0.0,60,– (9.0fp)
64,Miguel Vargas,📋 Proj,7:40 PM ET,CWS,DET,Framber Valdez,+400,0.1392,55.6,88.0,48.8,1.068,0.93,0.881,4.5,+5.9%,62.4,7,0,10,0.0,61,🥇 T1 (10.3fp)
65,Josh Lowe,📋 Proj,9:38 PM ET,LAA,MIN,Taj Bradley,+600,0.1406,53.7,79.5,40.4,0.992,0.97,1.007,4.0,+1.7%,17.3,0,2,10,0.2,34,– (8.7fp)
