Player,Player,Salary,DFF Proj,FPros Proj,NF Proj,SportsLine,DraftEdge Proj,RotoWire Proj,FantasyLabs Proj,FBGuys Proj,B5 Proj,Avg Proj,Weighted,Roster %,Position,Exclude?,,,,,,Weights,
Rico Dowdle,Rico Dowdle,6100,10.9,11.280000000000001,11.7,11.16,12.3,11.3,10.89,10.637,11.135399999999999,11.255822222222221,11.181885333333332,0,RB,,,,,,,,
Colston Loveland,Colston Loveland,6000,10.7,10.65,10,12.39,11.8,11.23,10.59,10.336,10.8152,10.94568888888889,10.843609333333333,4.59,TE,,,,,,,,
Tony Pollard,Tony Pollard,6000,10.5,10.130000000000003,10.7,10.93,12.3,10.46,10.85,9.289,10.309800000000001,10.607644444444444,10.462390666666668,9.83,RB,,,,,,,,
Jeremiyah Love,Jeremiyah Love,5800,10.5,10.76,11.5,10.94,11.7,10.44,10.23,10.626,10.865199999999998,10.840133333333334,10.788576,0,RB,,,,,,,,
Parker Washington,Parker Washington,6600,10.4,9.8,10.3,9.79,13.1,10.57,10.13,11.185,10.295000000000002,10.61888888888889,10.549233333333332,0.34,WR,,,,,,,,
Emeka Egbuka,Emeka Egbuka,6400,10.4,10.690000000000001,9.6,11.22,13.2,11.02,11.14,11.2,10.622,11.010222222222222,10.933293333333335,8.87,WR,,,,,,,,
Chuba Hubbard,Chuba Hubbard,5800,10.2,9.959999999999999,10.7,10.73,9.7,9.96,10.24,9.789,10.2758,10.172755555555556,10.144737333333335,14.65,RB,,,,,,,,
DK Metcalf,DK Metcalf,7000,10,10.16,10,9.86,11.2,9.67,9.7,10.469000000000001,10.0978,10.128533333333333,10.127264,9.9,WR,,,,,,,,
Terry McLaurin,Terry McLaurin,6200,9.9,9.42,9.2,9.03,11.4,9.87,9.51,9.792,9.468399999999999,9.732266666666668,9.693892,18.2,WR,,,,,,,,
Jordan Mason,Jordan Mason,5400,9.5,8.14,8.6,8.07,8.8,8.24,9.01,9.656,8.7932,8.756577777777778,8.816982666666666,2.52,RB,,,,,,,,
Kenny Gainwell,Kenny Gainwell,5500,9.5,10.189999999999998,9.5,9.5,11.2,10.89,9.5,9.971,9.7322,9.998133333333335,9.955136,0,RB,,,,,,,,
Tyler Warren,Tyler Warren,5600,9.5,9.989999999999998,11.3,8.88,13.1,11.04,10.15,9.24,9.782,10.331333333333333,10.162360000000001,5.86,TE,,,,,,,,
Marvin Harrison Jr.,Marvin Harrison,5900,9.5,8.83,9.1,9.5,10.6,8.11,9.54,9.5,9.286,9.329555555555556,9.303813333333332,9.59,WR,,,,,,,,
DJ Moore,DJ Moore,6500,9.3,8.74,9.3,9.06,10.7,8.95,9.26,10.808000000000002,9.4416,9.506622222222223,9.514141333333335,0,WR,,,,,,,,
Tucker Kraft,Tucker Kraft,6300,9.3,9.09,10,9.25,11.6,8.68,9.29,8.683,9.2646,9.461955555555555,9.351881333333333,5.58,TE,,,,,,,,
Tre Tucker,Tre Tucker,5600,9.2,7.8999999999999995,4.1,9.55,10.7,8.78,8.91,8.251000000000001,7.800199999999999,8.354577777777779,8.297342666666667,0.79,WR,,,,,,,,
Chris Godwin Jr.,Chris Godwin,6300,9,8.89,8.8,9.48,11.2,9.64,9.4,9,9.034,9.382666666666669,9.275120000000001,0,WR,,,,,,,,
Jayden Reed,Jayden Reed,5700,9,8.780000000000001,8.7,8.01,10.1,9.98,8.97,9.09,8.716,9.038444444444444,9.003446666666667,2.68,WR,,,,,,,,
Rome Odunze,Rome Odunze,6700,9,9.510000000000002,7.8,10.55,10.7,9.33,8.6,9.235000000000001,9.219,9.32711111111111,9.272486666666667,6.56,WR,,,,,,,,
Quentin Johnston,Quentin Johnston,6000,9,9.71,8.6,11.31,9.2,9.25,8.9,9.013000000000002,9.526600000000002,9.389955555555558,9.352041333333334,1.78,WR,,,,,,,,
Sam LaPorta,Sam LaPorta,5800,8.9,9.780000000000001,9.7,9.65,10.3,11.14,8.97,8.786000000000001,9.3632,9.621022222222223,9.516049333333333,7.98,TE,,,,,,,,
Jacory Croskey-Merritt,Jacory Croskey-Merritt,5700,8.9,8.84,9.7,7.06,8.1,8.86,7.9,7.767,8.4534,8.397822222222223,8.416325333333333,1.94,RB,,,,,,,,
Michael Pittman Jr.,Michael Pittman,5800,8.7,8.330000000000002,7.7,8.7,10.4,8.29,8.1,8.7,8.425999999999998,8.594000000000001,8.549679999999999,0,WR,,,,,,,,
Wan'Dale Robinson,WanDale Robinson,5300,8.7,8.73,7.4,8.7,10.8,9.07,8.42,8.551,8.4162,8.754133333333334,8.691456,0,WR,,,,,,,,
MarShawn Lloyd,MarShawn Lloyd,4900,8.7,10.37,11.9,9.16,13.2,8.57,10.03,10.164,10.0588,10.2392,10.147144,0,RB,,,,,,,,
Jordan Addison,Jordan Addison,6100,8.7,8.9,8.2,8.61,9.5,9.79,8.82,8.273000000000001,8.5366,8.8144,8.761108,0,WR,,,,,,,,
Carnell Tate,Carnell Tate,5600,8.7,8.77,8.3,8.67,9.6,8.87,8.03,10.245000000000001,8.937000000000001,8.902444444444445,8.946926666666668,0,WR,,,,,,,,
Juwan Johnson,Juwan Johnson,5400,8.5,8.5,9.4,8.5,9.3,8.17,8.1,8.436,8.6672,8.619244444444444,8.583202666666667,2.41,TE,,,,,,,,
