Player,POS,Team,Opp,Proj,Prop,Metric,Proj Diff,L5 Avg,L5 Diff,L10 Avg,L10 Diff,Odds,Streak,Matchup,2025,2026,H2H,L5,L10,L20,Probability,Weighted Score,Total Odds,$10 Bet Payout,Parlay Probability,Avg Rating,Custom Sheet
Trey McBride,TE,ARI,SEA,7.18,6.5,Receptions,0.6799999999999997,8.4,1.9,8.3,1.8,-122,3,19,0.5882352941176471,1,1,0.8,0.8,0.6111111111111112,0.5495495495495496,7.92154954954955,,,,,
Kyren Williams,RB,LA,NYG,0.7100000000000001,1,Anytime Touchdown,-0.2899999999999999,1,0,0.9,-0.1,-175,4,21,0.65,1,1,0.8,0.7,0.65,0.6363636363636364,7.892363636363637,,,,,
DJ Moore,WR,BUF,DET,5.32,4.5,Receptions,0.8200000000000003,3.6,-0.9,3.5,-1,-111,3,31,0.2631578947368421,1,1,0.6,0.5,0.3,0.5260663507109005,7.812066350710901,,,,,
Kenyon Sadiq,TE,NYJ,GB,28.73,20.5,Receiving Yards,8.23,21,0.5,21,0.5,-115,1,25,,1,1,1,1,1,0.5348837209302325,7.766883720930233,,,,,
Kirk Cousins,QB,LV,LAC,1.26,1,Passing Touchdowns,0.26,2,1,1.3,0.3,-25,5,18,0.6,1,0.5,1,0.7,0.6363636363636364,0.2,7.765000000000001,,,,,
Zay Flowers,WR,BAL,NO,Not Found,1,Anytime Touchdown,-1,1.2,0.2,0.6,-0.4,119,5,21,0.29411764705882354,1,1,1,0.5,0.3333333333333333,0.45662100456621,7.7486210045662105,,,,,
Josh Allen,QB,BUF,DET,0.72,1,Anytime Touchdown,-0.28,1.2,0.2,1.1,0.1,-140,1,29,0.5,1,0.5,0.6,0.6,0.5263157894736842,0.5833333333333334,7.7363333333333335,,,,,
Cade Otton,TE,TB,CLE,2.88,2.5,Receptions,0.3799999999999999,3.8,1.3,4,1.5,-155,3,18,0.7333333333333333,1,1,0.8,0.7,0.75,0.6078431372549019,7.693843137254902,,,,,
Adonai Mitchell,WR,NYJ,GB,42.53,33.83,Receiving Yards,8.700000000000003,36.6,2.77,36.8,2.97,-114,1,20,0.3125,1,0.3333333333333333,0.6,0.5,0.35294117647058826,0.5327102803738317,7.6837769470405,,,,,
Cole Kmet,TE,CHI,MIN,1.81,1.5,Receptions,0.31000000000000005,1.8,0.3,1.9,0.4,-113,2,23,0.5555555555555556,1,1,0.8,0.8,0.5789473684210527,0.5305164319248826,7.666516431924883,,,,,
Dalton Kincaid,TE,BUF,DET,56.2,51.83,Receiving Yards,4.3700000000000045,57.8,5.97,52.5,0.67,-117,2,31,0.2857142857142857,1,1,0.4,0.3,0.3333333333333333,0.5391705069124424,7.659570506912444,,,,,
Blake Corum,RB,LA,NYG,51.75,44.5,Rushing Yards,7.25,46.4,1.9,57.8,13.3,-113,2,21,0.5,1,0.6666666666666666,0.8,0.8,0.55,0.5305164319248826,7.643849765258216,,,,,
Joe Burrow,QB,CIN,HOU,254.38,248.83,Passing Yards,5.549999999999983,265.8,16.97,229.222,-19.608,-114,1,32,0.5,1,1,0.6,0.5555555555555556,0.5555555555555556,0.5327102803738317,7.625550280373826,,,,,
Dallas Goedert,TE,PHI,TEN,4.09,3.5,Receptions,0.5899999999999999,4,0.5,3.8,0.3,-133,2,21,0.4375,1,0.5,0.6,0.5,0.47058823529411764,0.5708154506437768,7.605815450643776,,,,,
Xavier Hutchinson,WR,HOU,CIN,37.16,27.5,Receiving Yards,9.659999999999997,40.4,12.9,26.1,-1.4,-114,2,13,0.4444444444444444,1,0.5,0.6,0.4,0.47368421052631576,0.5327102803738317,7.6017102803738315,,,,,
Colston Loveland,TE,CHI,MIN,48.69,47.17,Receiving Yards,1.519999999999996,75.6,28.43,57.7,10.53,-114,0,23,0.4444444444444444,0,0,0.8,0.6,0.42105263157894735,0.5327102803738317,7.51831028037383,,,,,
Davante Adams,WR,LA,NYG,51.4,44.5,Receiving Yards,6.899999999999999,56.4,11.9,50.9,6.4,-114,0,18,0.7058823529411765,0,0.6666666666666666,0.6,0.6,0.6666666666666666,0.5327102803738317,7.4620436137071655,,,,,
Chris Olave,WR,NO,BAL,6.31,5.5,Receptions,0.8099999999999996,7.4,1.9,6.6,1.1,-117,4,11,0.625,1,1,0.8,0.6,0.6470588235294118,0.5391705069124424,7.449170506912442,,,,,
Luther Burden,WR,,MIN,59.86,50.83,Receiving Yards,9.030000000000001,,,,,-114,,32,,,,,,,0.5327102803738317,7.344710280373833,,,,,
Demarcus Robinson,WR,SF,MIA,32.2,25.5,Receiving Yards,6.700000000000003,43.2,17.7,29.6,4.1,-114,1,9,0.375,1,1,0.6,0.4,0.4117647058823529,0.5327102803738317,7.332710280373833,,,,,
Emmett Johnson,RB,KC,IND,20.9,17,Rushing Yards,3.8999999999999986,24,7,24,7,-115,1,30,,1,1,1,1,1,0.5348837209302325,7.314883720930232,,,,,
Josh Allen,QB,BUF,DET,1.86,1.5,Passing Touchdowns,0.3600000000000001,1.2,-0.3,1.6,0.1,-186,2,29,0.5555555555555556,1,0.5,0.4,0.5,0.5789473684210527,0.6503496503496503,7.3033496503496504,,,,,
Dalton Kincaid,TE,BUF,DET,4.28,3.83,Receptions,0.4500000000000002,3.4,-0.43,3.3,-0.53,-67,2,31,0.5,1,1,0.4,0.4,0.5333333333333333,0.40119760479041916,7.289597604790419,,,,,
Dontayvion Wicks,WR,PHI,TEN,39.46,29.83,Receiving Yards,9.630000000000003,38.4,8.57,29.1,-0.73,-114,1,17,0.38461538461538464,1,1,0.4,0.4,0.42857142857142855,0.5327102803738317,7.2891102803738335,,,,,
Bo Nix,QB,DEN,JAX,236.1,221.83,Passing Yards,14.269999999999982,217,-4.83,236.5,14.67,-114,0,12,0.5,0,0.3333333333333333,0.4,0.5,0.47368421052631576,0.5327102803738317,7.279776947040491,,,,,
Jeremiyah Love,RB,ARI,SEA,73.17,55,Rushing + Receiving Yards,18.17,41,-14,41,-14,-114,0,11,,0,0,0,0,0,0.5327102803738317,7.220710280373832,,,,,
Rhamondre Stevenson,RB,NE,PIT,55.07,49.5,Rushing Yards,5.57,53.6,4.1,58.7,9.2,-115,1,25,0.4444444444444444,1,0.5,0.8,0.7,0.47368421052631576,0.5348837209302325,7.205883720930233,,,,,
Justin Jefferson,WR,MIN,CHI,0.64,1,Anytime Touchdown,-0.36,0.4,-0.6,0.2,-0.8,153,1,27,0.11764705882352941,1,0.3333333333333333,0.2,0.1,0.16666666666666666,0.3952569169960474,7.197923583662714,,,,,
Roman Wilson,WR,PIT,NE,27.35,17,Receiving Yards,10.350000000000001,15.6,-1.4,19.2,2.2,-113,1,22,0.4444444444444444,1,1,0.6,0.5,0.5,0.5305164319248826,7.142516431924884,,,,,
Rashee Rice,WR,KC,IND,0.54,1,Anytime Touchdown,-0.45999999999999996,0.6,-0.4,0.778,-0.222,141,1,26,0.5,1,0.5,0.4,0.5555555555555556,0.5555555555555556,0.4149377593360996,7.123497759336099,,,,,
DK Metcalf,WR,PIT,NE,60.87,52.83,Receiving Yards,8.04,65.4,12.57,47.1,-5.73,-113,0,22,0.375,0,0,0.4,0.2,0.35294117647058826,0.5305164319248826,7.100916431924883,,,,,
Amon-Ra St. Brown,WR,DET,BUF,Not Found,1,Anytime Touchdown,-1,0.8,-0.2,0.6,-0.4,56,1,25,0.4117647058823529,1,1,0.4,0.4,0.4444444444444444,0.6410256410256411,7.075025641025642,,,,,
Cam Skattebo,RB,NYG,LAR,0.63,1,Anytime Touchdown,-0.37,1.2,0.2,0.889,-0.111,108,4,14,0.625,1,1,0.8,0.6666666666666666,0.6666666666666666,0.4807692307692308,7.024549230769231,,,,,
Malik Nabers,WR,NYG,LAR,68.97,64.5,Receiving Yards,4.469999999999999,68,3.5,68,3.5,-113,1,29,0.5,1,1,0.6,0.6,0.6,0.5305164319248826,7.006516431924883,,,,,
Cole Kmet,TE,CHI,MIN,18.35,14,Receiving Yards,4.350000000000001,19.6,5.6,22.1,8.1,-113,2,23,0.6666666666666666,1,1,0.8,0.8,0.6842105263157895,0.5305164319248826,6.966516431924884,,,,,
Jacory Croskey-Merritt,RB,WAS,DAL,0.47,1,Anytime Touchdown,-0.53,1,0,0.5,-0.5,108,1,23,0.35294117647058826,1,0.6666666666666666,0.8,0.4,0.3888888888888889,0.4807692307692308,6.916102564102564,,,,,
Keon Coleman,WR,BUF,DET,16.02,13.17,Receiving Yards,2.8499999999999996,22.4,9.23,22.5,9.33,-118,0,31,0.7857142857142857,0,0,0.6,0.6,0.7333333333333333,0.5412844036697247,6.908884403669725,,,,,
Puka Nacua,WR,LA,NYG,91.34,86.5,Receiving Yards,4.840000000000003,96.4,9.9,117.4,30.9,-113,0,18,0.5789473684210527,0,0,0.4,0.5,0.55,0.5305164319248826,6.886516431924885,,,,,
Justin Jefferson,WR,MIN,CHI,6.2,5.83,Receptions,0.3700000000000001,5.6,-0.23,4.5,-1.33,-65,2,27,0.35294117647058826,1,0.6666666666666666,0.6,0.3,0.3888888888888889,0.3939393939393939,6.843672727272727,,,,,
Dallas Goedert,TE,PHI,TEN,44.14,38.5,Receiving Yards,5.640000000000001,44,5.5,41.2,2.7,-113,1,21,0.3125,1,0.5,0.4,0.4,0.35294117647058826,0.5305164319248826,6.8275164319248836,,,,,
